,Method,Diff_Kd,Diff_Str,Diff_Td,Diff_Sub,Diff_Head,Diff_Body,Diff_Leg,Diff_Distance,Diff_Clinch,Diff_Ground,Diff_Ctrl,Fighter_1_W
1134,S-DEC,0,31,-5,0,-21,-9,-1,-31,-7,7,490,1
1135,U-DEC,0,-37,-4,0,31,4,2,5,0,32,563,1
1136,U-DEC,0,-24,-5,0,23,2,-1,-4,5,23,697,1
1137,U-DEC,0,4,-2,0,4,-5,-3,-1,0,-3,328,1
1138,U-DEC,0,3,-1,1,-12,21,-6,2,1,0,-209,0
1139,U-DEC,-4,-18,1,-2,-2,-4,-12,-9,-1,-8,39,0
1140,U-DEC,-4,-63,0,0,-14,-11,-38,-59,0,-4,-41,0
1141,S-DEC,0,-14,1,0,-4,-1,-9,-18,0,4,29,0
1142,U-DEC,0,4,-4,-1,9,3,-8,7,1,-4,-241,0
1143,M-DEC,0,17,-6,-3,-23,4,2,-13,-6,2,91,1
1144,U-DEC,0,1,-2,0,-20,3,18,13,2,-14,-494,0
1145,U-DEC,0,-34,-2,0,32,10,-8,12,7,15,459,1
1146,U-DEC,0,0,-2,0,9,-5,-4,9,-4,-5,-237,0
1147,U-DEC,0,-7,-2,-1,-9,3,-1,1,-4,-4,-159,0
1148,U-DEC,-1,-19,0,0,11,-1,9,7,3,9,78,1
1149,U-DEC,-1,-68,0,1,35,11,22,45,12,11,81,1
1150,U-DEC,0,-6,0,0,-8,-11,13,-8,2,0,30,0
1151,S-DEC,0,-17,5,2,15,1,1,6,-4,15,-300,1
1152,U-DEC,0,-15,5,0,-1,-11,-3,-7,-6,-2,9,0
1153,U-DEC,0,8,-1,0,-6,1,13,14,-2,-4,-423,0
1154,U-DEC,0,-34,-2,0,18,0,16,11,-1,24,494,1
1155,U-DEC,0,-20,-7,0,8,1,11,6,1,13,704,1
1156,U-DEC,0,-36,0,0,7,-2,31,36,0,0,2,1
1157,U-DEC,0,-12,-3,0,13,-2,1,6,-1,7,390,1
1158,U-DEC,0,-18,3,1,28,0,-10,9,5,4,-21,1
1159,U-DEC,0,-8,5,0,2,6,0,8,0,0,-170,1
1160,U-DEC,0,12,1,0,-28,16,24,1,10,1,237,0
1161,U-DEC,0,-54,0,0,-11,-20,-23,-54,0,0,39,0
1162,U-DEC,0,-22,-1,0,-1,-9,-12,-21,-1,0,-18,0
1163,S-DEC,-1,-22,1,0,14,9,-1,0,11,11,-54,1
1164,S-DEC,0,-9,1,0,8,-12,-5,-11,2,0,93,0
1165,S-DEC,1,1,0,0,4,2,-7,2,-3,0,-36,1
1166,U-DEC,-1,-7,0,0,20,4,-17,5,0,2,59,1
1167,U-DEC,-1,-48,-2,0,11,19,18,41,5,2,232,1
1168,U-DEC,0,-59,-3,0,-55,1,-5,-9,0,-50,-645,0
1169,U-DEC,0,-32,-2,-2,27,-2,7,22,5,5,8,1
1170,U-DEC,0,-2,0,0,3,13,-14,1,1,0,0,1
1171,U-DEC,0,-11,0,0,-12,-1,2,-3,-8,0,-192,0
1172,U-DEC,0,-31,3,0,16,-1,16,29,2,0,45,1
1173,U-DEC,0,-40,0,0,7,-17,-30,-24,-17,1,-151,0
1174,U-DEC,0,-8,-6,0,11,-7,4,-2,-3,13,590,1
1175,S-DEC,0,-4,0,0,0,-1,5,-4,8,0,-26,1
1176,U-DEC,0,-7,-1,-3,2,11,-6,11,2,-6,-248,1
1177,U-DEC,0,-89,-3,0,30,26,33,33,26,30,779,1
1178,U-DEC,0,-107,-2,0,-44,-65,2,-17,-54,-36,-1093,0
1179,U-DEC,0,-33,-2,0,-15,-1,-17,-18,-4,-11,-212,0
1180,U-DEC,0,-29,-3,0,-23,-1,-5,-19,-1,-9,-156,0
1181,U-DEC,0,-7,1,0,4,11,-8,13,-1,-5,53,1
1182,S-DEC,-1,10,0,0,8,-3,5,11,0,-1,-278,0
1183,U-DEC,0,19,-3,0,-10,1,-10,-6,0,-13,280,1
1184,U-DEC,1,-50,0,0,-43,-8,1,-36,-11,-3,-52,0
1185,U-DEC,-1,-7,-1,0,12,-2,-3,2,-1,6,320,1
1186,U-DEC,0,-48,3,-1,-25,-12,-11,-25,-5,-18,130,0
1187,U-DEC,0,-40,3,-1,-23,-8,-9,-33,-4,-3,49,0
1188,U-DEC,0,-26,0,0,-1,25,2,27,-1,0,0,1
1189,U-DEC,0,6,0,0,-7,12,1,9,-3,0,61,0
1190,U-DEC,0,-9,0,0,0,-11,2,-7,-2,0,-58,0
1191,U-DEC,1,-22,0,0,18,-1,5,26,0,-4,-50,1
1192,U-DEC,0,-77,0,0,-28,-32,-17,-60,-16,-1,5,0
1193,U-DEC,0,-45,2,0,-9,-14,-22,-42,-3,0,-49,0
1194,U-DEC,0,-17,-5,-1,0,-3,-14,-15,-9,7,-390,0
1195,U-DEC,0,-34,0,0,11,1,22,37,-3,0,0,1
1196,U-DEC,-2,-7,-4,0,-11,1,3,9,0,-16,-230,0
1197,U-DEC,-1,-43,0,0,-3,29,17,43,0,0,16,1
1198,S-DEC,0,9,-2,1,-3,-4,-2,-6,0,-3,-80,1
1199,U-DEC,0,-30,2,1,-19,0,-11,-6,-4,-20,-206,0
1200,S-DEC,0,9,-4,-3,-9,-1,1,-8,-1,0,-54,1
1201,S-DEC,0,7,-1,2,-3,-3,-1,-12,-4,9,191,1
1202,S-DEC,1,29,2,0,-32,-19,22,-8,-21,0,-145,1
1203,U-DEC,0,-28,-3,0,20,8,0,21,5,2,144,1
1204,S-DEC,0,18,3,-2,-6,24,0,8,8,2,-42,0
1205,U-DEC,-1,28,-4,0,-14,-22,8,0,-22,-6,227,1
1206,U-DEC,0,-32,0,-2,18,-1,15,15,4,13,78,1
1207,U-DEC,1,-40,-5,-2,26,9,5,12,-1,29,-480,1
1208,U-DEC,-2,-8,0,0,-22,10,4,4,-7,-5,-34,0
1209,U-DEC,0,-7,0,0,-1,-8,2,-15,8,0,23,0
1210,U-DEC,0,-49,3,0,29,4,16,55,3,-9,-177,1
1211,U-DEC,0,-9,3,0,-2,-5,-2,-29,1,19,311,0
1212,U-DEC,0,-40,-1,-1,26,18,-4,31,1,8,275,1
1213,S-DEC,0,11,0,0,-10,0,-1,-8,-3,0,154,1
1214,U-DEC,0,34,1,1,13,15,6,24,4,6,166,0
1215,U-DEC,-1,-2,0,0,12,2,-16,-7,1,4,1,0
1216,U-DEC,0,0,-3,1,-3,0,3,-11,0,11,173,1
1217,U-DEC,0,-11,-5,0,38,-28,1,6,-3,8,477,1
1218,S-DEC,0,-61,2,0,24,31,6,62,1,-2,-109,1
1219,U-DEC,0,-47,2,0,-17,-2,-28,-53,-1,7,200,0
1220,U-DEC,-1,-36,-3,0,-22,-11,-3,0,-3,-33,-326,0
1221,S-DEC,0,-16,0,0,12,-15,-13,-21,-3,8,30,0
1222,S-DEC,1,-27,0,0,-23,21,29,16,11,0,13,1
1223,U-DEC,0,-7,4,1,-1,-5,13,2,1,4,-42,1
1224,U-DEC,0,-40,0,0,-42,8,-6,-40,0,0,0,0
1225,U-DEC,0,-62,0,0,-37,-9,-16,-41,-15,-6,88,0
1226,U-DEC,0,7,-7,-1,-13,-3,9,-7,0,0,332,1
1227,S-DEC,-1,-7,0,0,18,-15,4,11,-4,0,-40,1
1228,U-DEC,0,-70,1,2,-61,-8,-1,-18,1,-53,-542,0
1229,U-DEC,0,-12,-5,1,-7,-4,-1,-2,1,-11,-496,0
1230,U-DEC,0,-24,-5,0,-17,-6,-1,-15,2,-11,-586,0
1231,U-DEC,0,-68,-12,2,-68,-10,10,-13,-11,-44,-1086,0
1232,S-DEC,0,12,-7,0,17,-2,-3,1,1,10,-556,0
1233,U-DEC,0,-33,-2,0,-23,-13,3,-20,-7,-6,-197,0
1234,U-DEC,-1,-12,0,0,3,-22,7,1,0,-13,-100,0
1235,S-DEC,0,-16,0,1,-1,-12,-3,-16,-1,1,-176,0
1236,U-DEC,0,-5,-2,0,3,-1,3,7,-4,2,157,1
1237,U-DEC,0,-37,0,0,-38,-1,2,-37,0,0,-43,0
1238,U-DEC,-1,-6,0,0,-47,12,29,1,-5,-2,310,0
1239,S-DEC,0,45,1,0,-13,-29,-3,-35,0,-10,152,1
1240,U-DEC,0,-64,0,0,55,-3,12,64,0,0,0,1
1241,U-DEC,-1,-29,4,-2,-21,-7,-1,-8,-10,-11,230,0
1242,U-DEC,0,-44,1,0,-31,-20,7,-16,-10,-18,-343,0
1243,U-DEC,0,-28,0,0,26,8,-6,31,-3,0,-43,1
1244,U-DEC,0,-2,-5,0,-17,-1,16,12,0,-14,-252,0
1245,U-DEC,0,-38,-1,1,31,2,5,18,5,15,262,1
1246,U-DEC,0,-18,0,0,-13,-6,1,-12,-6,0,299,0
1247,U-DEC,0,-36,-4,2,17,8,11,1,2,33,812,1
1248,S-DEC,0,-28,0,-1,13,1,14,17,7,4,-192,1
1249,S-DEC,0,13,1,-1,4,-3,-14,-10,3,-6,-128,1
1250,S-DEC,0,8,-6,4,7,4,-3,3,0,5,-354,0
1251,S-DEC,0,-11,0,0,-11,4,18,2,9,0,33,1
1252,U-DEC,0,-13,-2,0,12,3,-2,5,3,5,306,1
1253,U-DEC,0,-8,-3,-2,-7,2,-3,-1,3,-10,-693,0
1254,U-DEC,-1,-29,-2,0,17,9,3,16,3,10,200,1
1255,S-DEC,-2,-7,1,2,-6,0,-1,7,-7,-7,153,0
1256,M-DEC,2,1,-1,0,5,-6,0,-3,4,-2,22,1
1257,U-DEC,0,-21,-2,0,-15,0,-6,-9,-4,-8,-366,0
1258,U-DEC,0,-32,-1,0,17,23,-8,32,-1,1,39,1
1259,U-DEC,-2,-8,-2,-1,-7,15,0,6,27,-25,-33,1
1260,S-DEC,0,3,0,0,6,1,-10,-2,-1,0,-2,1
1261,U-DEC,-1,-24,-1,0,-15,-5,-4,-10,9,-23,-211,0
1262,U-DEC,-1,-46,0,0,-42,-6,2,-6,-15,-25,-175,0
1263,U-DEC,0,-23,-1,-1,0,-8,-15,-23,0,0,-336,0
1264,U-DEC,0,-4,-1,0,23,-6,-13,-8,3,9,389,1
1265,U-DEC,0,-12,0,0,-26,-1,39,12,0,0,-6,1
1266,U-DEC,-1,-56,1,0,-25,-12,-19,-30,-26,0,7,0
1267,U-DEC,0,-25,1,0,32,0,-7,-3,4,24,-189,1
1268,U-DEC,0,12,-2,0,6,3,3,14,0,-2,-446,0
1269,U-DEC,0,-29,-5,0,-8,-7,-14,-11,-10,-8,-575,0
1270,S-DEC,-1,-9,2,2,-18,1,8,-26,2,15,266,0
1271,M-DEC,0,12,-2,0,18,-10,-20,-19,-4,11,285,1
1272,U-DEC,0,-16,4,0,-16,-2,2,-9,-3,-4,-5,0
1273,U-DEC,0,-8,-2,0,10,15,-17,3,5,0,-73,1
1274,U-DEC,0,-14,0,0,-11,-3,0,-3,0,-11,-188,0
1275,U-DEC,0,12,-1,0,13,-6,-19,-16,4,0,-48,1
1276,U-DEC,0,-42,1,0,36,6,0,26,13,3,-142,1
1277,S-DEC,0,27,-3,0,1,-5,-23,-31,0,4,250,1
1278,U-DEC,0,0,0,0,-5,1,4,-1,1,0,4,1
1279,U-DEC,-1,-14,-1,-1,16,9,-11,-2,9,7,8,1
1280,U-DEC,0,-54,-5,0,46,2,6,3,5,46,693,1
1281,U-DEC,0,-21,0,0,4,1,16,26,-5,0,2,1
1282,U-DEC,1,-28,-3,1,18,10,0,-5,0,33,852,1
1283,S-DEC,0,-14,0,0,-1,-1,16,12,2,0,-15,1
1284,S-DEC,0,-8,-1,-1,-5,-1,-2,-1,-5,-2,-215,0
1285,S-DEC,0,-28,2,1,6,11,11,22,0,6,-111,1
1286,S-DEC,0,10,0,0,15,-17,-8,-10,-1,1,78,1
1287,U-DEC,0,-19,0,0,22,-8,5,24,-5,0,333,1
1288,U-DEC,0,-27,-2,1,26,-1,2,7,2,18,467,1
1289,S-DEC,0,30,-2,0,-6,1,35,42,-10,-2,-242,0
1290,U-DEC,0,6,1,0,-12,12,6,6,-1,1,-295,0
1291,U-DEC,0,-38,-3,0,30,8,0,3,1,34,507,1
1292,U-DEC,-3,-44,0,-1,17,6,21,13,10,21,205,1
1293,U-DEC,0,17,-5,0,-20,-3,6,-5,-9,-3,292,1
1294,S-DEC,0,11,0,-1,2,0,-13,-10,1,-2,-69,1
1295,U-DEC,0,4,0,0,8,-17,13,3,1,0,64,0
1296,U-DEC,0,-43,-1,1,-9,-7,-27,-40,-1,-2,-48,0
1297,U-DEC,0,-29,0,0,10,25,-6,11,18,0,-148,1
1298,U-DEC,0,-20,-2,1,16,6,-2,1,8,11,196,1
1299,U-DEC,0,6,-3,1,-6,0,0,-10,0,4,437,1
1300,U-DEC,0,-52,0,0,6,7,39,48,4,0,46,1
1301,U-DEC,0,-52,0,0,48,4,0,41,11,0,-18,1
1302,U-DEC,0,8,1,0,-26,1,33,5,3,0,19,0
1303,U-DEC,0,-26,1,0,0,-4,-22,-27,-1,2,264,0
1304,U-DEC,0,-28,-7,1,-24,-3,-1,-14,-4,-10,-408,0
1305,U-DEC,0,-29,2,1,-23,-8,2,-18,-2,-9,99,0
1306,U-DEC,0,-10,-5,0,-3,7,6,-8,-3,21,458,1
1307,S-DEC,0,-12,2,4,11,-4,5,-4,-9,25,364,1
1308,U-DEC,-1,-43,0,0,51,-13,5,26,9,8,34,1
1309,S-DEC,-1,-28,0,0,-16,-4,-8,-25,-2,-1,-7,0
1310,U-DEC,0,-14,-6,1,-8,-3,-3,2,0,-16,-771,0
1311,U-DEC,0,-13,-6,0,-13,-2,2,7,2,-22,-570,0
1312,U-DEC,-1,-92,-3,0,-76,-5,-11,-12,-2,-78,-740,0
1313,U-DEC,0,-8,2,-2,-10,-1,3,-4,-1,-3,257,0
1314,U-DEC,0,-59,0,0,26,31,2,61,-2,0,-3,1
1315,S-DEC,0,-6,6,-1,-7,0,1,-12,3,3,224,0
1316,U-DEC,0,-19,-6,0,4,7,8,4,2,13,458,1
1317,U-DEC,0,-5,0,0,-17,16,-4,-5,0,0,4,0
1318,U-DEC,-2,-18,-1,-3,-10,4,-12,-14,-3,-1,-148,0
1319,S-DEC,0,-33,-1,0,-22,-9,-2,-16,-12,-5,-120,0
1320,U-DEC,0,-11,-3,0,13,-2,0,1,-7,17,172,1
1321,U-DEC,0,-47,0,0,29,5,13,12,35,0,7,1
1322,U-DEC,0,-9,0,0,6,-8,-7,-9,0,0,-1,0
1323,S-DEC,0,-6,-2,0,-7,1,0,6,-10,-2,-137,0
1324,U-DEC,0,-34,-2,0,29,-2,7,16,1,17,272,1
1325,U-DEC,0,-5,0,0,-11,6,0,1,-6,0,-136,0
1326,U-DEC,0,6,0,0,-5,3,-4,-1,2,-7,-238,1
1327,U-DEC,0,-3,-1,0,-9,4,2,7,-1,-9,-257,0
1328,U-DEC,0,-79,1,-1,-27,-18,-34,-62,-11,-6,19,0
1329,S-DEC,0,-13,1,-1,6,-4,11,13,-2,2,168,1
1330,U-DEC,0,-57,-2,0,-34,-3,-20,-37,1,-21,-499,0
1331,S-DEC,0,-4,3,0,-1,10,-5,12,-3,-5,-178,1
1332,S-DEC,0,-3,-4,2,2,-2,3,6,-4,1,235,1
1333,M-DEC,0,32,-8,1,-11,-16,-5,-24,-9,1,668,1
1334,M-DEC,0,13,0,-1,5,3,5,7,-6,12,377,0
1335,S-DEC,0,-17,-2,-1,-2,-7,-8,-1,-6,-10,-341,0
1336,U-DEC,0,-24,1,0,-20,11,-15,-14,-11,1,115,0
1337,U-DEC,0,-16,-1,0,-8,-10,2,-14,4,-6,-123,0
1338,U-DEC,0,-51,0,0,8,12,31,50,1,0,0,1
1339,U-DEC,0,-27,0,0,-8,8,-27,-28,1,0,0,0
1340,S-DEC,0,-23,0,0,8,3,12,26,-3,0,-37,1
1341,S-DEC,0,-1,0,0,7,11,-17,-14,15,0,144,1
1342,S-DEC,2,-17,3,0,-19,4,32,53,-16,-20,-224,1
1343,U-DEC,0,6,-4,0,0,23,-17,-20,24,2,-623,0
1344,U-DEC,0,-21,-4,-1,12,1,8,0,1,20,643,1
1345,U-DEC,-1,-3,0,0,-4,-5,6,-3,0,0,-61,0
1346,S-DEC,0,17,-2,-1,-10,0,-7,-6,-6,-5,87,1
1347,S-DEC,0,3,-2,2,-4,6,1,0,5,-2,-461,0
1348,S-DEC,0,-15,2,0,-41,9,17,-7,-7,-1,264,0
1349,S-DEC,-1,-3,0,0,-20,10,7,1,-4,0,6,0
1350,U-DEC,0,-26,-2,0,16,2,8,22,-4,8,280,1
1351,U-DEC,0,-6,0,0,0,12,-18,-6,0,0,38,0
1352,U-DEC,0,-54,-3,-1,37,5,12,49,0,5,123,1
1353,U-DEC,0,-49,0,0,41,7,1,47,2,0,0,1
1354,U-DEC,-1,-8,0,0,-10,8,-6,-5,-3,0,-14,0
1355,S-DEC,2,2,-3,1,-15,5,12,11,0,-9,400,0
1356,U-DEC,0,-2,1,0,3,8,-9,-11,13,0,270,1
1357,S-DEC,1,-9,-3,0,-7,-6,4,-10,2,-1,-85,0
1358,U-DEC,0,-36,3,0,23,12,1,9,27,0,-21,1
1359,U-DEC,-1,-39,0,0,-23,-3,-13,-30,0,-9,-138,0
1360,U-DEC,0,-3,1,0,-2,1,-2,-2,6,-7,-173,0
1361,U-DEC,0,-32,-2,-1,0,-21,-11,4,-22,-14,-381,0
1362,S-DEC,0,-2,-3,0,-8,7,-1,-14,12,0,-31,0
1363,U-DEC,0,-22,-10,-1,15,3,4,-1,4,19,380,1
1364,U-DEC,-1,-22,-4,1,-11,-8,-3,0,-12,-10,-242,0
1365,S-DEC,-1,11,1,1,-2,14,-1,1,-1,11,173,0
1366,U-DEC,0,-27,-2,0,-23,-5,1,-13,-3,-11,-301,0
1367,U-DEC,0,-10,0,0,1,-5,14,10,0,0,51,1
1368,U-DEC,-1,-7,-1,0,34,-16,-11,0,-9,16,58,1
1369,U-DEC,0,-62,-2,0,17,33,12,36,16,10,-309,1
1370,U-DEC,0,-13,4,0,-1,13,1,10,0,3,22,1
1371,U-DEC,0,-33,-12,0,32,0,1,20,4,9,452,1
1372,U-DEC,0,-32,2,-2,32,-1,1,26,3,3,-66,1
1373,S-DEC,0,-25,-3,3,8,6,11,19,-3,9,261,1
1374,U-DEC,0,-34,8,-1,-24,-11,1,-22,-6,-6,421,0
1375,U-DEC,0,10,-1,0,3,3,4,8,2,0,-124,0
1376,U-DEC,0,-4,-6,0,-8,3,1,4,3,-11,-745,0
1377,U-DEC,-1,2,1,0,29,-2,-29,-9,5,2,24,1
1378,U-DEC,0,-93,-6,-1,95,-4,2,59,0,34,633,1
1379,U-DEC,0,40,-1,0,21,-12,-49,-30,-10,0,56,1
1380,U-DEC,0,-75,0,0,25,13,37,74,1,0,-1,1
1381,U-DEC,0,-54,-5,0,41,2,11,47,0,7,188,1
1382,S-DEC,0,-40,0,0,20,12,8,18,19,3,-34,1
1383,U-DEC,0,-28,-1,0,-35,-6,13,-19,-8,-1,2,0
1384,U-DEC,0,-10,-7,0,13,-9,6,6,-8,12,647,1
1385,U-DEC,-1,-60,-1,0,-65,6,-1,-56,-3,-1,-170,0
1386,U-DEC,0,18,2,0,-32,-7,21,-5,-5,-8,-83,1
1387,S-DEC,0,-9,1,1,11,-12,-8,-8,1,-2,-154,0
1388,U-DEC,0,-38,4,-3,34,6,-2,37,0,1,-306,1
1389,U-DEC,0,-12,-4,0,-3,-8,-1,-10,-2,0,-194,0
1390,S-DEC,0,18,-2,-1,1,11,6,14,10,-6,-595,0
1391,S-DEC,1,-18,-1,-1,-12,3,-9,-6,-4,-8,-308,0
1392,S-DEC,0,-7,1,0,8,1,-2,13,-4,-2,-62,1
1393,S-DEC,0,-36,1,0,-17,-17,-2,-15,-22,1,299,0
1394,S-DEC,0,-1,-2,0,-3,1,3,13,-11,-1,433,1
1395,U-DEC,0,-23,-8,0,-8,37,-6,-24,12,35,412,1
1396,U-DEC,-1,-33,1,0,-35,1,1,-30,0,-3,54,0
1397,U-DEC,0,22,-1,0,4,14,4,9,13,0,-133,0
1398,U-DEC,0,-30,-1,0,-24,6,-12,-11,-16,-3,-90,0
1399,U-DEC,0,12,-5,0,15,6,-9,7,0,5,-416,0
1400,U-DEC,-1,-42,2,1,14,22,6,37,1,4,-69,1
1401,U-DEC,0,-41,1,0,-28,0,-13,-43,0,2,69,0
1402,U-DEC,0,-35,3,1,11,14,10,16,9,10,-258,1
1403,U-DEC,-2,-32,2,2,-37,5,0,-36,-2,6,-5,0
1404,U-DEC,1,-42,-10,0,-33,-6,-3,0,1,-43,-568,0
1405,U-DEC,-2,-14,-2,-1,26,-4,-8,-2,-3,19,135,1
1406,S-DEC,0,-21,0,0,-27,5,1,-21,0,0,0,0
1407,U-DEC,0,19,0,0,-18,13,-14,-16,-3,0,-6,1
1408,U-DEC,1,-16,-1,0,-8,0,-8,-13,-3,0,-176,0
1409,U-DEC,0,0,-1,0,-8,4,4,11,-6,-5,-4,1
1410,S-DEC,0,-30,3,0,0,10,20,30,-6,6,-90,1
1411,U-DEC,0,-3,0,-3,13,-7,-3,-3,-7,13,70,1
1412,U-DEC,0,-18,0,0,2,12,4,-4,22,0,284,1
1413,U-DEC,0,-25,-1,0,27,1,-3,21,3,1,34,1
1414,S-DEC,1,42,0,0,-21,-7,-14,-37,-1,-4,-82,1
1415,U-DEC,0,-8,-9,1,15,-10,3,2,-8,14,698,1
1416,S-DEC,0,23,-3,0,-14,7,30,15,8,0,141,0
1417,U-DEC,0,-39,3,0,16,8,15,26,9,4,-159,1
1418,U-DEC,0,-54,0,0,-3,-36,-15,-10,-34,-10,-81,0
1419,U-DEC,0,11,1,-1,-9,19,-21,-15,4,0,-35,1
1420,U-DEC,0,-28,-1,0,6,5,17,-2,17,13,362,1
1421,S-DEC,0,28,0,0,-17,17,28,27,1,0,0,0
1422,U-DEC,0,-15,-1,0,-6,5,16,6,9,0,49,1
1423,S-DEC,0,0,0,0,19,-7,-12,0,0,0,0,1
1424,U-DEC,0,5,-2,0,10,-3,-12,-9,4,0,222,1
1425,U-DEC,0,-17,-6,2,6,4,7,6,5,6,-148,1
1426,U-DEC,0,-37,1,0,-45,-5,13,-28,-6,-3,32,0
1427,U-DEC,0,-12,-5,0,2,2,-16,-2,2,-12,-274,0
1428,U-DEC,0,-1,-2,-1,-7,6,0,8,-5,-4,-184,0
1429,U-DEC,0,-20,-8,2,9,2,9,-9,4,25,769,1
1430,U-DEC,0,21,-2,-2,-12,-11,2,-11,-11,1,556,1
1431,U-DEC,0,-24,0,0,-26,-7,9,-10,-1,-13,271,0
1432,S-DEC,0,13,-2,-5,8,4,1,3,4,6,-321,0
1433,U-DEC,0,-16,-1,0,-26,3,7,-13,-4,1,-112,0
1434,U-DEC,0,31,0,1,-14,-11,-6,-8,-21,-2,282,1
1435,U-DEC,0,-74,0,0,37,21,16,58,16,0,-160,1
1436,U-DEC,0,-64,-4,0,71,-3,-4,9,0,55,632,1
1437,U-DEC,0,-10,-1,-1,8,0,-18,-18,1,7,242,0
1438,U-DEC,0,5,-6,0,-4,-3,12,8,-1,-2,-265,0
1439,U-DEC,0,-27,-2,0,21,10,-4,19,5,3,158,1
1440,M-DEC,0,-15,0,-2,17,2,-4,5,6,4,32,1
1441,U-DEC,-3,-38,-3,-2,-27,-15,4,-23,0,-15,-258,0
1442,U-DEC,0,-86,-2,0,-47,-16,-23,-56,-20,-10,-209,0
1443,U-DEC,-1,-27,-2,0,22,-4,9,16,1,10,89,1
1444,U-DEC,-1,-24,-4,0,-18,-5,-1,-24,0,0,-148,0
1445,U-DEC,-1,-18,1,0,-6,10,14,19,-1,0,-97,1
1446,U-DEC,0,-38,-3,-1,39,-1,0,9,6,23,432,1
1447,U-DEC,0,-49,1,0,-39,-4,-6,-48,3,-4,-13,0
1448,U-DEC,0,-13,-6,0,0,15,-2,-1,-2,16,489,1
1449,U-DEC,0,-49,0,1,50,2,-3,11,13,25,423,1
1450,U-DEC,-1,0,0,-1,-10,-1,11,-1,1,0,129,0
1451,S-DEC,0,26,3,-2,-19,-7,0,-13,-3,-10,-43,1
1452,S-DEC,0,-11,11,0,-12,21,2,-2,13,0,-447,1
1453,U-DEC,0,3,0,0,7,-11,1,-9,6,0,46,1
1454,U-DEC,0,-11,-3,0,-1,7,5,-7,2,16,575,1
1455,U-DEC,0,-39,1,0,43,-4,0,21,4,14,-33,1
1456,U-DEC,0,-13,1,0,-6,-1,20,15,-2,0,33,1
1457,S-DEC,0,15,-1,0,-21,8,-2,-15,0,0,88,1
1458,U-DEC,0,-54,-1,0,26,1,27,38,3,13,186,1
1459,U-DEC,0,-53,-3,0,60,3,-10,48,1,4,-42,1
1460,S-DEC,0,12,-2,2,6,1,5,12,0,0,-187,0
1461,M-DEC,1,2,0,-1,-9,4,3,-5,2,1,566,1
1462,S-DEC,-1,-22,0,0,8,-10,24,18,-4,8,2,1
1463,U-DEC,0,-44,2,0,-47,7,-4,-42,-5,3,460,0
1464,U-DEC,0,-16,-4,0,-16,1,-1,-4,-5,-7,-254,0
1465,U-DEC,-1,-9,4,0,0,-7,-2,-2,-2,-5,84,0
1466,U-DEC,0,-28,0,0,21,19,-12,19,7,2,217,1
1467,S-DEC,0,-36,0,0,-3,-9,-24,-27,-5,-4,-177,0
1468,S-DEC,0,3,-1,0,-23,19,7,2,1,0,-21,0
1469,S-DEC,0,4,-3,1,-2,-1,-1,2,-8,2,149,1
1470,U-DEC,0,-76,2,1,12,29,35,80,-4,0,-4,1
1471,U-DEC,0,-50,-4,0,25,6,19,25,11,14,486,1
1472,S-DEC,0,-50,1,1,-65,2,13,-31,-19,0,-6,0
1473,U-DEC,0,-7,4,-6,3,-7,-3,-7,-9,9,375,0
1474,U-DEC,0,-81,-4,2,-67,-11,-3,-14,0,-67,-464,0
1475,U-DEC,0,-10,2,0,-17,6,1,-15,-5,10,288,0
1476,U-DEC,0,-44,0,0,-17,-21,-6,-44,0,0,215,0
1477,S-DEC,1,-11,-2,0,8,-7,-12,-12,6,-5,-243,0
1478,S-DEC,1,-2,1,-1,3,0,-5,-5,2,1,-38,0
1479,U-DEC,0,-58,-4,1,35,12,11,4,1,53,743,1
1480,U-DEC,0,-24,-3,0,32,6,-14,22,2,0,43,1
1481,U-DEC,0,-36,0,0,-13,-5,-18,-36,1,-1,6,0
1482,U-DEC,0,-16,-3,-1,-58,14,28,-6,2,-12,-62,0
1483,U-DEC,0,-35,1,1,6,10,19,34,-3,4,4,1
1484,U-DEC,-1,-28,0,0,40,12,-24,31,-3,0,1,1
1485,U-DEC,0,-34,-1,2,28,3,3,4,4,26,263,1
1486,U-DEC,0,-35,0,0,-12,-1,-22,-30,-2,-3,-102,0
1487,U-DEC,0,-29,0,0,22,10,-3,15,6,8,134,1
1488,U-DEC,0,-28,0,0,12,23,-7,15,1,12,95,1
1489,U-DEC,0,-69,-2,1,-64,-7,2,2,-10,-61,-328,0
1490,U-DEC,2,-33,0,0,15,11,7,10,20,3,84,1
1491,S-DEC,0,11,6,-5,-17,6,0,6,0,-17,-383,1
1492,U-DEC,0,-62,-1,0,58,11,-7,38,23,1,-62,1
1493,U-DEC,-1,-39,-1,-3,31,6,2,13,12,14,237,1
1494,U-DEC,1,8,-2,-1,-1,-4,-3,-9,-2,3,364,1
1495,U-DEC,0,-9,-1,0,-16,2,5,-8,-2,1,-250,0
1496,U-DEC,-1,0,-5,0,-15,9,6,5,1,-6,-246,0
1497,U-DEC,0,-3,-2,0,-3,12,-12,-8,6,-1,-208,0
1498,U-DEC,-4,-24,-1,0,-11,-9,-4,-2,0,-22,-165,0
1499,M-DEC,-1,-45,1,0,28,4,13,16,6,23,-18,1
1500,S-DEC,0,-33,-3,0,-11,-11,-11,-22,-6,-5,-152,0
1501,U-DEC,0,-40,-1,0,-40,-14,14,5,-45,0,553,0
