,Diff_Kd,Diff_Str,Diff_Td,Diff_Sub,Diff_Head,Diff_Body,Diff_Leg,Diff_Distance,Diff_Clinch,Diff_Ground,Diff_Ctrl,Fighter_1_W
3098,0,7,-8,0,-5,1,-3,-6,-4,3,347,1
3099,0,-60,-1,0,43,4,13,13,5,42,399,1
3100,-1,-12,2,0,-8,30,-10,-1,-9,22,-146,1
3101,0,-18,-4,1,9,-1,10,5,-5,18,470,1
3102,0,-16,-13,0,17,-5,4,-4,-3,23,595,1
3103,0,-24,-1,2,14,-9,19,-2,-4,30,460,1
3104,0,-37,6,0,7,17,13,37,6,-6,-112,1
3105,0,10,0,0,5,-11,-4,-2,-8,0,-80,1
3106,1,-24,4,0,-9,5,28,28,-6,2,-88,1
3107,0,-15,1,0,2,15,-2,7,8,0,-260,1
3108,0,-8,-6,2,8,3,-3,10,3,-5,171,1
3109,-1,-10,-1,-3,12,1,-3,-10,1,19,493,1
3110,0,-27,-2,3,28,6,-7,0,-6,33,645,1
3111,0,-13,2,1,5,-4,12,-7,3,17,150,1
3112,1,-14,-2,0,20,-3,-3,12,2,0,68,1
3113,0,-11,-2,0,5,7,-1,8,-2,5,111,1
3114,0,-4,-6,1,2,-2,4,-11,4,11,586,1
3115,0,-6,1,-4,4,7,-5,5,-2,3,-80,1
3116,0,17,-4,0,-1,-10,-6,-7,-14,4,428,1
3117,0,-14,-7,0,30,-12,-4,1,-12,25,334,1
3118,0,-36,-8,0,36,1,-1,0,0,36,790,1
3119,0,-10,1,0,15,10,-15,-5,19,-4,275,1
3120,0,-41,-2,-1,39,1,1,5,2,34,115,1
3121,0,-16,-1,-1,33,4,-21,10,-13,19,399,1
3122,-1,21,-3,-2,4,-28,3,-7,-19,5,-66,1
3123,-1,-34,-3,7,31,3,0,6,2,26,728,1
3124,-1,-52,0,0,13,9,30,52,0,0,6,1
3125,0,-14,-1,5,15,-1,0,3,-1,12,364,1
3126,0,-55,0,-1,30,21,4,14,20,21,441,1
3127,0,-23,2,3,14,-2,11,3,11,9,239,1
3128,0,-39,-2,2,31,6,2,5,0,34,460,1
3129,0,-26,-3,1,21,2,3,3,-15,38,575,1
3130,0,-5,-1,-10,9,-1,-3,-1,0,6,533,1
3131,-1,-14,1,3,12,10,-8,14,-12,12,32,1
3132,0,9,6,0,-20,5,6,-5,-1,-3,-247,1
3133,0,-48,0,0,3,21,24,17,28,3,269,1
3134,0,4,-7,0,4,-1,-7,-18,0,14,701,1
3135,0,-15,0,-2,15,0,0,-4,3,16,-122,1
3136,-2,-4,0,0,-12,6,10,-5,2,7,206,1
3137,1,-29,-16,1,19,10,0,-2,0,31,1301,1
3138,1,-24,-4,-2,25,8,-9,24,3,-3,119,1
3139,0,-18,0,0,15,0,3,-3,7,14,311,1
3140,0,-19,0,3,4,7,8,16,5,-2,61,1
3141,0,-93,2,0,34,18,41,60,34,-1,-27,1
